case_id,complaint_time,fraud_type,reported_amount,complaint_state_code,complaint_state_ut,initial_transaction_id,source_type,source_system,primary_mule_account_id,prediction_time
CASE_002987,2025-04-20 18:09:25,OTP Fraud,17147,PY,Puducherry,TXN_0002987,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004833,2025-04-20 18:39:25
CASE_002988,2025-04-20 18:14:23,Card Fraud,18998,TN,Tamil Nadu,TXN_0002988,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004851,2025-04-20 18:44:23
CASE_002989,2025-04-20 20:58:47,Account Takeover,45105,KL,Kerala,TXN_0002989,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006976,2025-04-20 21:28:47
CASE_002990,2025-04-20 21:52:59,Investment Scam,24265,AS,Assam,TXN_0002990,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019175,2025-04-20 22:22:59
CASE_002991,2025-04-20 23:20:59,Remote Access Scam,17205,LA,Ladakh,TXN_0002991,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008736,2025-04-20 23:50:59
CASE_002992,2025-04-21 00:11:40,Remote Access Scam,18413,UP,Uttar Pradesh,TXN_0002992,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003097,2025-04-21 00:41:40
CASE_002993,2025-04-21 00:13:59,UPI Fraud,11452,UP,Uttar Pradesh,TXN_0002993,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_016800,2025-04-21 00:43:59
CASE_002994,2025-04-21 00:33:17,UPI Fraud,41301,BR,Bihar,TXN_0002994,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006166,2025-04-21 01:03:17
CASE_002995,2025-04-21 01:24:05,OTP Fraud,38397,UP,Uttar Pradesh,TXN_0002995,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000120,2025-04-21 01:54:05
CASE_002996,2025-04-21 01:36:04,Account Takeover,83854,GA,Goa,TXN_0002996,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017330,2025-04-21 02:06:04
CASE_002997,2025-04-21 01:50:37,UPI Fraud,13339,TR,Tripura,TXN_0002997,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007523,2025-04-21 02:20:37
CASE_002998,2025-04-21 03:09:40,Account Takeover,54143,RJ,Rajasthan,TXN_0002998,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018764,2025-04-21 03:39:40
CASE_002999,2025-04-21 05:38:56,Phishing,46646,GA,Goa,TXN_0002999,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006869,2025-04-21 06:08:56
CASE_003000,2025-04-21 05:45:22,Social Engineering,54483,ML,Meghalaya,TXN_0003000,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001891,2025-04-21 06:15:22
CASE_003001,2025-04-21 05:53:01,Remote Access Scam,43016,LA,Ladakh,TXN_0003001,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008246,2025-04-21 06:23:01
CASE_003002,2025-04-21 06:17:36,Marketplace Fraud,10067,KA,Karnataka,TXN_0003002,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007292,2025-04-21 06:47:36
CASE_003003,2025-04-21 06:28:12,Investment Scam,29551,AN,Andaman and Nicobar Islands,TXN_0003003,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002762,2025-04-21 06:58:12
CASE_003004,2025-04-21 07:00:19,OTP Fraud,38480,HP,Himachal Pradesh,TXN_0003004,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010406,2025-04-21 07:30:19
CASE_003005,2025-04-21 08:29:14,Loan App Fraud,23920,LA,Ladakh,TXN_0003005,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013542,2025-04-21 08:59:14
CASE_003006,2025-04-21 12:04:06,Marketplace Fraud,32562,MP,Madhya Pradesh,TXN_0003006,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011421,2025-04-21 12:34:06
CASE_003007,2025-04-21 13:21:34,UPI Fraud,57951,UK,Uttarakhand,TXN_0003007,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015246,2025-04-21 13:51:34
CASE_003008,2025-04-21 14:25:36,OTP Fraud,15007,AP,Andhra Pradesh,TXN_0003008,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018557,2025-04-21 14:55:36
CASE_003009,2025-04-21 14:30:58,OTP Fraud,23839,PB,Punjab,TXN_0003009,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003071,2025-04-21 15:00:58
CASE_003010,2025-04-21 14:37:41,OTP Fraud,60452,WB,West Bengal,TXN_0003010,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002691,2025-04-21 15:07:41
CASE_003011,2025-04-21 15:41:26,Loan App Fraud,13226,RJ,Rajasthan,TXN_0003011,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009597,2025-04-21 16:11:26
CASE_003012,2025-04-21 15:44:27,Social Engineering,22553,BR,Bihar,TXN_0003012,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015064,2025-04-21 16:14:27
CASE_003013,2025-04-21 17:09:26,OTP Fraud,38756,GA,Goa,TXN_0003013,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007210,2025-04-21 17:39:26
CASE_003014,2025-04-21 17:20:12,Card Fraud,50640,GA,Goa,TXN_0003014,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003095,2025-04-21 17:50:12
CASE_003015,2025-04-21 20:09:27,UPI Fraud,23734,HR,Haryana,TXN_0003015,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004501,2025-04-21 20:39:27
CASE_003016,2025-04-21 20:38:01,Marketplace Fraud,19749,KL,Kerala,TXN_0003016,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_012058,2025-04-21 21:08:01
CASE_003017,2025-04-21 21:56:02,Loan App Fraud,13838,DN,Dadra and Nagar Haveli and Daman and Diu,TXN_0003017,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_016070,2025-04-21 22:26:02
CASE_003018,2025-04-21 22:43:28,Account Takeover,18540,MZ,Mizoram,TXN_0003018,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008141,2025-04-21 23:13:28
CASE_003019,2025-04-21 23:12:09,Loan App Fraud,21112,KL,Kerala,TXN_0003019,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000416,2025-04-21 23:42:09
CASE_003020,2025-04-21 23:16:18,Loan App Fraud,65639,TS,Telangana,TXN_0003020,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009820,2025-04-21 23:46:18
CASE_003021,2025-04-21 23:56:12,UPI Fraud,31403,AS,Assam,TXN_0003021,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004473,2025-04-22 00:26:12
CASE_003022,2025-04-22 00:37:01,Investment Scam,31741,UK,Uttarakhand,TXN_0003022,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002295,2025-04-22 01:07:01
CASE_003023,2025-04-22 03:07:27,Remote Access Scam,11340,AS,Assam,TXN_0003023,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005962,2025-04-22 03:37:27
CASE_003024,2025-04-22 04:10:32,Marketplace Fraud,32761,MN,Manipur,TXN_0003024,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005035,2025-04-22 04:40:32
CASE_003025,2025-04-22 04:18:01,UPI Fraud,33324,HP,Himachal Pradesh,TXN_0003025,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009507,2025-04-22 04:48:01
CASE_003026,2025-04-22 04:18:10,Phishing,25053,MN,Manipur,TXN_0003026,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018233,2025-04-22 04:48:10
CASE_003027,2025-04-22 08:37:08,OTP Fraud,26547,DN,Dadra and Nagar Haveli and Daman and Diu,TXN_0003027,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009340,2025-04-22 09:07:08
CASE_003028,2025-04-22 08:43:49,OTP Fraud,29267,DN,Dadra and Nagar Haveli and Daman and Diu,TXN_0003028,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000979,2025-04-22 09:13:49
CASE_003029,2025-04-22 08:43:53,OTP Fraud,31499,LA,Ladakh,TXN_0003029,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005619,2025-04-22 09:13:53
CASE_003030,2025-04-22 09:51:08,OTP Fraud,98969,LA,Ladakh,TXN_0003030,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011834,2025-04-22 10:21:08
CASE_003031,2025-04-22 10:13:13,Marketplace Fraud,59858,DL,Delhi,TXN_0003031,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015117,2025-04-22 10:43:13
CASE_003032,2025-04-22 10:43:40,Remote Access Scam,106828,HR,Haryana,TXN_0003032,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018299,2025-04-22 11:13:40
CASE_003033,2025-04-22 11:05:13,Loan App Fraud,21534,PY,Puducherry,TXN_0003033,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004451,2025-04-22 11:35:13
CASE_003034,2025-04-22 12:08:12,OTP Fraud,31559,HP,Himachal Pradesh,TXN_0003034,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008070,2025-04-22 12:38:12
CASE_003035,2025-04-22 13:05:09,OTP Fraud,62851,UP,Uttar Pradesh,TXN_0003035,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009754,2025-04-22 13:35:09
CASE_003036,2025-04-22 13:32:09,Phishing,37073,BR,Bihar,TXN_0003036,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007139,2025-04-22 14:02:09
CASE_003037,2025-04-22 14:36:47,Loan App Fraud,21630,MH,Maharashtra,TXN_0003037,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014984,2025-04-22 15:06:47
CASE_003038,2025-04-22 15:07:01,OTP Fraud,34008,AS,Assam,TXN_0003038,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018799,2025-04-22 15:37:01
CASE_003039,2025-04-22 16:24:20,OTP Fraud,33686,TS,Telangana,TXN_0003039,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011586,2025-04-22 16:54:20
CASE_003040,2025-04-22 16:45:25,Remote Access Scam,18588,DL,Delhi,TXN_0003040,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009561,2025-04-22 17:15:25
CASE_003041,2025-04-22 18:18:29,Loan App Fraud,145551,SK,Sikkim,TXN_0003041,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_009863,2025-04-22 18:48:29
CASE_003042,2025-04-22 18:49:53,Card Fraud,129798,MN,Manipur,TXN_0003042,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010730,2025-04-22 19:19:53
CASE_003043,2025-04-22 19:46:50,Social Engineering,61065,OD,Odisha,TXN_0003043,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005338,2025-04-22 20:16:50
CASE_003044,2025-04-22 20:23:08,Marketplace Fraud,56141,WB,West Bengal,TXN_0003044,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007025,2025-04-22 20:53:08
CASE_003045,2025-04-22 20:27:56,Marketplace Fraud,7024,GA,Goa,TXN_0003045,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017971,2025-04-22 20:57:56
CASE_003046,2025-04-22 21:16:06,Loan App Fraud,32397,NL,Nagaland,TXN_0003046,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005320,2025-04-22 21:46:06
CASE_003047,2025-04-22 22:13:59,Card Fraud,15517,GA,Goa,TXN_0003047,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010261,2025-04-22 22:43:59
CASE_003048,2025-04-22 22:20:15,Phishing,29985,TN,Tamil Nadu,TXN_0003048,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017281,2025-04-22 22:50:15
CASE_003049,2025-04-22 22:30:55,OTP Fraud,3345,GA,Goa,TXN_0003049,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008954,2025-04-22 23:00:55
CASE_003050,2025-04-22 23:47:24,Investment Scam,7948,HP,Himachal Pradesh,TXN_0003050,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007062,2025-04-23 00:17:24
CASE_003051,2025-04-22 23:57:46,Phishing,310573,MP,Madhya Pradesh,TXN_0003051,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003578,2025-04-23 00:27:46
CASE_003052,2025-04-23 01:04:40,Phishing,18019,AP,Andhra Pradesh,TXN_0003052,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007094,2025-04-23 01:34:40
CASE_003053,2025-04-23 01:06:29,Account Takeover,40359,TS,Telangana,TXN_0003053,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003035,2025-04-23 01:36:29
CASE_003054,2025-04-23 02:05:23,OTP Fraud,14873,UK,Uttarakhand,TXN_0003054,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013660,2025-04-23 02:35:23
CASE_003055,2025-04-23 02:31:36,Investment Scam,31980,PY,Puducherry,TXN_0003055,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_012177,2025-04-23 03:01:36
CASE_003056,2025-04-23 03:30:05,Investment Scam,17419,KA,Karnataka,TXN_0003056,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_012351,2025-04-23 04:00:05
CASE_003057,2025-04-23 04:37:59,Investment Scam,23246,BR,Bihar,TXN_0003057,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018040,2025-04-23 05:07:59
CASE_003058,2025-04-23 05:57:32,Investment Scam,198041,TR,Tripura,TXN_0003058,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001690,2025-04-23 06:27:32
CASE_003059,2025-04-23 06:31:52,Account Takeover,30056,GA,Goa,TXN_0003059,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015297,2025-04-23 07:01:52
CASE_003060,2025-04-23 06:44:02,Remote Access Scam,5246,PB,Punjab,TXN_0003060,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006871,2025-04-23 07:14:02
CASE_003061,2025-04-23 06:44:22,UPI Fraud,17539,TR,Tripura,TXN_0003061,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013434,2025-04-23 07:14:22
CASE_003062,2025-04-23 08:29:15,Phishing,38450,NL,Nagaland,TXN_0003062,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002425,2025-04-23 08:59:15
CASE_003063,2025-04-23 08:51:16,UPI Fraud,23234,HP,Himachal Pradesh,TXN_0003063,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013834,2025-04-23 09:21:16
CASE_003064,2025-04-23 11:20:22,UPI Fraud,67029,RJ,Rajasthan,TXN_0003064,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003149,2025-04-23 11:50:22
CASE_003065,2025-04-23 12:09:46,OTP Fraud,16704,PB,Punjab,TXN_0003065,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013580,2025-04-23 12:39:46
CASE_003066,2025-04-23 12:13:41,Loan App Fraud,112379,KA,Karnataka,TXN_0003066,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007222,2025-04-23 12:43:41
CASE_003067,2025-04-23 13:02:17,UPI Fraud,88289,LD,Lakshadweep,TXN_0003067,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_011981,2025-04-23 13:32:17
CASE_003068,2025-04-23 14:33:23,Social Engineering,82605,PB,Punjab,TXN_0003068,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017596,2025-04-23 15:03:23
CASE_003069,2025-04-23 14:57:43,Card Fraud,117775,SK,Sikkim,TXN_0003069,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015186,2025-04-23 15:27:43
CASE_003070,2025-04-23 15:27:49,Loan App Fraud,16203,DL,Delhi,TXN_0003070,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002668,2025-04-23 15:57:49
CASE_003071,2025-04-23 17:19:50,Social Engineering,72928,HP,Himachal Pradesh,TXN_0003071,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013336,2025-04-23 17:49:50
CASE_003072,2025-04-23 17:39:07,Social Engineering,23144,AP,Andhra Pradesh,TXN_0003072,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_016009,2025-04-23 18:09:07
CASE_003073,2025-04-23 17:55:35,Marketplace Fraud,9375,TS,Telangana,TXN_0003073,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000857,2025-04-23 18:25:35
CASE_003074,2025-04-23 22:01:13,Marketplace Fraud,58841,TR,Tripura,TXN_0003074,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015670,2025-04-23 22:31:13
CASE_003075,2025-04-23 22:57:22,Phishing,32444,LA,Ladakh,TXN_0003075,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013836,2025-04-23 23:27:22
CASE_003076,2025-04-23 23:08:22,Investment Scam,13741,AP,Andhra Pradesh,TXN_0003076,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_004832,2025-04-23 23:38:22
CASE_003077,2025-04-24 00:28:21,Loan App Fraud,13021,LA,Ladakh,TXN_0003077,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005865,2025-04-24 00:58:21
CASE_003078,2025-04-24 01:20:22,Account Takeover,23433,KL,Kerala,TXN_0003078,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017705,2025-04-24 01:50:22
CASE_003079,2025-04-24 02:58:29,Marketplace Fraud,51878,HP,Himachal Pradesh,TXN_0003079,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007625,2025-04-24 03:28:29
CASE_003080,2025-04-24 03:36:38,Loan App Fraud,46798,MN,Manipur,TXN_0003080,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_015451,2025-04-24 04:06:38
CASE_003081,2025-04-24 03:41:58,Account Takeover,15246,KL,Kerala,TXN_0003081,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_000750,2025-04-24 04:11:58
CASE_003082,2025-04-24 05:03:45,UPI Fraud,52466,PB,Punjab,TXN_0003082,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003380,2025-04-24 05:33:45
CASE_003083,2025-04-24 06:57:42,UPI Fraud,39460,CG,Chhattisgarh,TXN_0003083,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_012470,2025-04-24 07:27:42
CASE_003084,2025-04-24 08:30:17,Remote Access Scam,141018,TS,Telangana,TXN_0003084,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013675,2025-04-24 09:00:17
CASE_003085,2025-04-24 09:10:05,Marketplace Fraud,39937,MZ,Mizoram,TXN_0003085,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003214,2025-04-24 09:40:05
CASE_003086,2025-04-24 09:25:57,Loan App Fraud,21270,HR,Haryana,TXN_0003086,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007706,2025-04-24 09:55:57
CASE_003087,2025-04-24 09:36:21,Loan App Fraud,40381,TN,Tamil Nadu,TXN_0003087,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_012748,2025-04-24 10:06:21
CASE_003088,2025-04-24 09:37:49,Phishing,21872,UK,Uttarakhand,TXN_0003088,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_008256,2025-04-24 10:07:49
CASE_003089,2025-04-24 10:27:47,Remote Access Scam,55819,KL,Kerala,TXN_0003089,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007760,2025-04-24 10:57:47
CASE_003090,2025-04-24 10:45:23,Investment Scam,25076,PB,Punjab,TXN_0003090,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_017660,2025-04-24 11:15:23
CASE_003091,2025-04-24 11:23:34,OTP Fraud,87876,GJ,Gujarat,TXN_0003091,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002557,2025-04-24 11:53:34
CASE_003092,2025-04-24 11:48:15,Account Takeover,186850,BR,Bihar,TXN_0003092,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_002676,2025-04-24 12:18:15
CASE_003093,2025-04-24 12:40:03,Remote Access Scam,21833,MP,Madhya Pradesh,TXN_0003093,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_001674,2025-04-24 13:10:03
CASE_003094,2025-04-24 13:59:46,Marketplace Fraud,22712,LA,Ladakh,TXN_0003094,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_007791,2025-04-24 14:29:46
CASE_003095,2025-04-24 15:26:50,Card Fraud,21961,DL,Delhi,TXN_0003095,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018462,2025-04-24 15:56:50
CASE_003096,2025-04-24 15:44:30,Remote Access Scam,47208,RJ,Rajasthan,TXN_0003096,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005452,2025-04-24 16:14:30
CASE_003097,2025-04-24 16:07:27,Social Engineering,48313,AP,Andhra Pradesh,TXN_0003097,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018734,2025-04-24 16:37:27
CASE_003098,2025-04-24 16:56:07,Card Fraud,51438,PY,Puducherry,TXN_0003098,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_003867,2025-04-24 17:26:07
CASE_003099,2025-04-24 18:48:03,Account Takeover,58859,HR,Haryana,TXN_0003099,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_014981,2025-04-24 19:18:03
CASE_003100,2025-04-24 19:04:06,OTP Fraud,51383,JK,Jammu and Kashmir,TXN_0003100,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010704,2025-04-24 19:34:06
CASE_003101,2025-04-24 19:52:04,Marketplace Fraud,66937,PY,Puducherry,TXN_0003101,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019542,2025-04-24 20:22:04
CASE_003102,2025-04-24 21:36:47,OTP Fraud,17322,BR,Bihar,TXN_0003102,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_018052,2025-04-24 22:06:47
CASE_003103,2025-04-24 21:57:43,Card Fraud,47206,LD,Lakshadweep,TXN_0003103,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_006683,2025-04-24 22:27:43
CASE_003104,2025-04-24 22:30:51,Remote Access Scam,34130,AP,Andhra Pradesh,TXN_0003104,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_010673,2025-04-24 23:00:51
CASE_003105,2025-04-24 23:44:48,Marketplace Fraud,89881,WB,West Bengal,TXN_0003105,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_019508,2025-04-25 00:14:48
CASE_003106,2025-04-25 00:53:33,Account Takeover,161316,MZ,Mizoram,TXN_0003106,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_013666,2025-04-25 01:23:33
CASE_003107,2025-04-25 01:36:00,Investment Scam,16213,AP,Andhra Pradesh,TXN_0003107,SYNTHETIC_PROTOTYPE,NCRP_CFCFRMS_CASE_FEED_SIMULATION,ACC_005719,2025-04-25 02:06:00
